dealt,desired,first_to_play,dealer,wild_suit,player0desired,player1desired,player2desired,player3desired,result,hand1,hand2,hand3,hand4,hand5,hand6,hand7,hand8,hand9,deciding_player
2,0,2,1,0,-1,-1,2,2,1,9,33,44,44,44,44,44,44,44,0
2,1,2,1,0,0,-1,2,2,1,6,30,44,44,44,44,44,44,44,1
1,0,1,2,1,-1,0,1,0,1,0,44,44,44,44,44,44,44,44,0
1,0,1,2,1,-1,-1,-1,-1,1,2,44,44,44,44,44,44,44,44,1
1,1,1,2,1,-1,0,-1,-1,1,18,44,44,44,44,44,44,44,44,2
1,0,1,2,1,-1,0,1,-1,1,29,44,44,44,44,44,44,44,44,3
9,1,2,3,1,-1,-1,-1,-1,1,34,7,33,20,18,8,14,27,19,2
9,0,1,0,1,-1,3,0,6,1,15,14,25,33,6,2,16,18,11,0
9,2,3,1,1,-1,-1,-1,6,1,23,28,13,27,24,14,4,3,33,0
9,3,3,1,1,2,1,-1,6,1,30,7,12,9,32,26,1,8,31,2
9,0,1,2,1,-1,2,4,4,1,3,25,30,2,21,13,15,18,10,0
1,0,1,0,0,-1,0,0,0,1,34,44,44,44,44,44,44,44,44,0
1,0,1,0,0,-1,-1,-1,-1,1,10,44,44,44,44,44,44,44,44,1
1,0,1,0,0,-1,0,-1,-1,1,24,44,44,44,44,44,44,44,44,2
2,0,3,1,0,-1,-1,-1,0,1,11,32,44,44,44,44,44,44,44,0
2,0,3,1,0,0,-1,-1,0,1,29,23,44,44,44,44,44,44,44,1
3,0,3,2,3,-1,-1,-1,3,1,15,8,12,44,44,44,44,44,44,0
3,1,3,2,3,0,-1,-1,3,1,6,3,21,44,44,44,44,44,44,1
5,1,1,0,0,-1,1,4,0,1,14,33,24,17,34,44,44,44,44,0
6,0,0,1,1,-1,-1,-1,-1,1,0,25,22,16,2,10,44,44,44,0
6,1,0,1,1,0,-1,-1,-1,1,23,21,15,5,12,24,44,44,44,1
6,1,0,1,1,0,1,-1,-1,1,6,34,30,18,1,3,44,44,44,2
6,4,0,1,1,0,1,1,-1,1,17,7,32,26,31,9,44,44,44,3
8,0,1,3,1,-1,1,5,0,1,0,17,26,15,21,7,8,6,44,0
9,0,1,0,1,-1,-1,-1,-1,1,5,32,4,28,10,0,8,24,17,1
9,3,0,1,1,2,2,-1,-1,1,17,14,26,3,22,1,31,5,24,2
9,0,2,2,1,-1,-1,1,5,1,20,22,12,6,7,9,24,14,21,0
9,5,2,2,1,-1,-1,1,-1,1,28,8,31,18,2,17,34,23,27,3
7,0,2,1,3,-1,-1,7,2,1,19,5,15,1,32,8,16,44,44,0
7,1,2,1,3,0,-1,7,2,1,25,12,30,9,6,4,10,44,44,1
5,1,1,3,2,-1,1,5,3,1,15,17,20,5,10,44,44,44,44,0
5,1,1,3,2,-1,-1,-1,-1,1,18,1,6,29,28,44,44,44,44,1
4,2,1,0,0,-1,-1,-1,-1,1,18,28,7,26,44,44,44,44,44,1
3,0,3,1,0,-1,-1,-1,0,1,19,4,27,44,44,44,44,44,44,0
3,0,3,1,0,-1,-1,-1,-1,1,17,30,31,44,44,44,44,44,44,3
2,0,1,2,4,-1,0,2,1,1,22,11,44,44,44,44,44,44,44,0
1,0,1,3,1,-1,1,1,1,1,26,44,44,44,44,44,44,44,44,0
1,1,1,3,1,-1,-1,-1,-1,1,34,44,44,44,44,44,44,44,44,1
9,2,1,0,1,-1,1,9,0,1,12,28,5,34,15,8,27,1,21,0
9,1,1,0,1,-1,-1,-1,-1,1,13,34,20,2,22,25,0,9,18,1
9,2,2,1,1,1,-1,7,7,1,28,21,34,26,0,18,23,25,1,1
9,2,2,2,1,-1,-1,6,-1,1,3,21,5,28,23,25,19,27,24,3
9,0,1,3,1,-1,-1,-1,-1,1,16,5,8,4,10,13,0,28,7,1
1,0,2,1,1,-1,-1,0,1,1,8,44,44,44,44,44,44,44,44,0
1,0,2,1,1,0,-1,0,1,1,32,44,44,44,44,44,44,44,44,1
2,1,2,2,2,-1,-1,0,1,1,7,34,44,44,44,44,44,44,44,0
2,0,2,2,2,1,-1,0,1,1,26,25,44,44,44,44,44,44,44,1
3,1,2,3,0,-1,-1,0,2,1,18,32,0,44,44,44,44,44,44,0
3,1,2,3,0,1,-1,0,2,1,8,2,34,44,44,44,44,44,44,1
3,0,2,3,0,-1,-1,-1,-1,1,14,17,1,44,44,44,44,44,44,2
4,0,3,0,3,1,-1,-1,1,1,24,32,12,18,44,44,44,44,44,1
5,0,2,1,4,-1,-1,0,-1,1,12,4,16,13,32,44,44,44,44,3
6,1,1,2,2,-1,-1,-1,-1,1,17,9,20,16,3,22,44,44,44,1
6,4,1,2,2,-1,1,1,-1,1,28,12,34,2,11,34,44,44,44,3
7,1,0,3,2,-1,-1,-1,-1,1,12,6,32,0,2,22,9,44,44,0
7,1,0,3,2,1,0,-1,-1,1,3,33,13,4,34,25,21,44,44,2
8,0,3,0,1,-1,-1,-1,2,1,18,29,5,33,26,14,12,10,44,0
8,1,3,0,1,0,-1,-1,2,1,24,28,6,0,1,31,16,3,44,1
9,1,0,2,1,-1,-1,-1,-1,1,26,17,20,27,2,4,3,28,1,0
9,1,1,3,1,-1,2,2,6,1,25,8,15,18,17,10,34,14,6,0
7,1,1,2,2,-1,-1,-1,-1,1,31,26,13,28,14,6,12,44,44,1
6,0,0,3,1,1,2,-1,-1,1,12,4,32,24,0,16,44,44,44,2
4,0,3,1,2,-1,-1,-1,2,1,18,13,2,10,44,44,44,44,44,0
4,0,3,1,2,0,0,-1,2,1,29,6,21,17,44,44,44,44,44,2
2,0,1,3,3,-1,0,1,2,1,28,4,44,44,44,44,44,44,44,0
2,0,1,3,3,-1,-1,-1,-1,1,10,15,44,44,44,44,44,44,44,1
1,0,2,0,0,-1,-1,0,0,1,2,44,44,44,44,44,44,44,44,0
1,0,2,0,0,0,-1,0,0,1,4,44,44,44,44,44,44,44,44,1
1,0,2,0,0,-1,-1,0,-1,1,3,44,44,44,44,44,44,44,44,3
9,2,2,1,0,-1,-1,3,7,1,34,1,19,16,34,10,4,27,8,0
9,1,2,1,0,2,-1,3,7,1,25,20,17,31,18,7,11,15,5,1
9,0,2,3,0,-1,-1,5,-1,1,30,8,20,24,26,21,28,12,5,3
